mode,token_id,fills,equity_final_usd,spread_capture_mean_cents,markout_mean_cents
skew_on,62239185941824652402752813729371423845548004986780601100316323331270822642667,0,0.0,,
skew_on,62313236991955111601391854345293627475130543547194366725001724474611291151185,0,0.0,,
skew_on,6302359956133594764084277082169634158291609371270652093164054687145970756151,0,0.0,,
skew_on,63603874958591978684257718702104189214159397118281244112857573557732401361881,0,0.0,,
skew_on,63712527751974257201038440220031691363508120012860375402898424160848105925111,1,0.0,0.5,0.5
skew_on,64140630690092928466941220518204962244509277709814669075463957847277715979794,0,0.0,,
skew_on,64291832879722161879651094688874074984529456778901604558632306686248535158725,0,0.0,,
skew_on,64533579809297525579033609963634939501013332859992608996100633472507000251907,0,0.0,,
skew_on,64564930076241670294516403352804569921660004975706088367725793399153499601932,0,0.0,,
skew_on,64622848174080349355505680625481066249195809702245025265549356236367119746958,0,0.0,,
skew_on,65176388692130651396848427090788038285140833850265294793449655516920659740141,10,-4.42,1.099,-0.4366666666666667
skew_on,65651447697756505945607381171434271908621057725573696706081861343152172944468,0,0.0,,
skew_on,65652065262666433168143828460188123377751865571317729312655170081534213236077,0,0.0,,
skew_on,66826965351166675155887515167306086307412332225034738589879767944935462342380,0,0.0,,
skew_on,69162030465037941268862284627658886205173465981805919620559686624259677735192,0,0.0,,
skew_on,69727421603231227453181655442677441322028725849495647325726292556190704508348,0,0.0,,
skew_on,70753274007979480001882804624792378182371580903023185997594096497692751054228,0,0.0,,
skew_on,70796412458550921409890959497494748951890329552810606309752111278664888204747,0,0.0,,
skew_on,70997927349469817841862065582625658840347600365813612622959588796331622340305,0,0.0,,
skew_on,71145888994888153292442623019750517622535407476309461406574461229898137896934,0,0.0,,
skew_on,71552623345730992280501476931299615437386807576519105089437764117985071980606,0,0.0,,
skew_on,7178132479418833271220202496199802982233847400465199094850639568068936253094,0,0.0,,
skew_on,72519808073108999474312955064075820476359073658026830985534265136852842710652,0,0.0,,
skew_on,7257011479626409922035368873631229141341263144294525166015954883117981789975,0,0.0,,
skew_on,73519690123669857152453405885723415686475855163989537762769966905300245435421,0,0.0,,
skew_on,74580890713477889155778397033413604695248820561928419929239929602538131402272,0,0.0,,
skew_on,75720156002519829912361786945091022242706922246722836126941546028340974330171,0,0.0,,
skew_on,76372194545838535783490148896316297976627938120220239171956676589522420141188,0,0.0,,
skew_on,76638532101043658630369484092110685720624002077285242368448475410253808399541,0,0.0,,
skew_on,76706438722657094807428459302230308718943542424974381190511598583787421448196,0,0.0,,
skew_on,77121637225348873006259930776623502125079210522997384841464684944292365296940,0,0.0,,
skew_on,77166477669007661974218999697956080000161736671391584414287437514245884953047,0,0.0,,
skew_on,78633590736077251574794513664747155551297291244492840448622550955320930591622,0,0.0,,
skew_on,79903375968759183705713252823977157971970949200427111658524625623146332835513,0,0.0,,
skew_on,80777593725072886250387021020386140490553855405927920539616996585797139624012,0,0.0,,
skew_on,83036729811309811995794968105073507480036161583897760544623930912713394505713,0,0.0,,
skew_on,83552904656813968939383082097054433404653657244784709614448703928529504455469,0,0.0,,
skew_on,84348038402659639941836209260221772039942739491890721010819630693075602597129,0,0.0,,
skew_on,8441400852834915183759801017793514978104486628517653995211751018945988243154,0,0.0,,
skew_on,85487630954297906857427842745787851948079273488527800245673979479655643658539,0,0.0,,
skew_on,8585617872562550075367684165842985213222082790621129799520234539666057750015,0,0.0,,
skew_on,86364606957252189309982179038306524287216246431215333838823307925824277620329,0,0.0,,
skew_on,86488478623677188352872801318507143761188967461168408688159600382919967378486,0,0.0,,
skew_on,86693363790696751339816050278877877262171227813296099717106615959022457093170,0,0.0,,
skew_on,87036266705700330884624690101790543034325645582506946990660049003915176778714,0,0.0,,
skew_on,87815410592295241486154481880824603104260793862757681040997281046628187070656,0,0.0,,
skew_on,88156352219650092845199724072742433369069988856568846096337560285593531555407,0,0.0,,
skew_on,88217367032380103395167682111051594395803346118218216383029818059516080329712,0,0.0,,
skew_on,88275040060084773376557187972215267513049848642895776801789297917961077894224,0,0.0,,
skew_on,88902058027062214140177978007942040532071439710160833384602336149457247354303,0,0.0,,
skew_on,89041006475364789358805026139650677807087698981377208157664917554760333198878,0,0.0,,
skew_on,90341897780328099998376451729070485278722530435626190544578344249705116455406,0,0.0,,
skew_on,90435811253665578014957380826505992530054077692143838383981805324273750424057,0,0.0,,
skew_on,90686053465094516567817655386166124897542061605406870889450915471482281028605,0,0.0,,
skew_on,91863162118308663069733924043159186005106558783397508844234610341221325526200,0,0.0,,
skew_on,92388629082681805622801622703528982922543286352927708208755887536971583436902,0,0.0,,
skew_on,92557339599379991257792137259949406096653890374419429974555855496093508422916,0,0.0,,
skew_on,94376205816022955542979635542279932967359915765455578534002478996104754801969,0,0.0,,
skew_on,96546182602923845565665333214247145480942442058633439074100378407858539142465,0,0.0,,
skew_on,96591255635253447513110478554912401032108924846987730492523639752571136117102,6,-8.68,1.813,-2.272
