category,segment,bucket,n,days,mean_gross_cents,mean_net_cents,train_net_cents,test_net_cents,hit_rate,net_positive_share,thin
geopolitics,spread x strength,1-2c x 0.85-0.95,36395,11,0.0847,-0.9438,-0.9317,-0.9549,0.5492,0.0391,False
geopolitics,spread x strength,1-2c x 0.95-1.01,5242,11,0.194,-0.8888,-0.8343,-0.9544,0.5716,0.0874,False
geopolitics,spread x strength,2-5c x 0.65-0.75,5467,11,0.239,-2.1285,-2.2973,-1.9655,0.5121,0.137,False
geopolitics,spread x strength,2-5c x 0.75-0.85,5011,11,0.0563,-2.3502,-2.4112,-2.2879,0.4973,0.1004,False
geopolitics,spread x strength,2-5c x 0.85-0.95,4968,11,0.1567,-2.2673,-2.31,-2.216,0.5161,0.0934,False
geopolitics,spread x strength,2-5c x 0.95-1.01,1997,11,0.1763,-2.344,-2.3056,-2.4493,0.5079,0.1147,False
geopolitics,spread x strength,5-10.1c x 0.65-0.75,610,11,-0.3016,-6.8509,-7.4494,-6.4325,0.4595,0.1623,False
geopolitics,spread x strength,5-10.1c x 0.75-0.85,652,11,-0.6762,-7.3477,-6.5339,-7.9339,0.4608,0.1288,False
geopolitics,spread x strength,5-10.1c x 0.85-0.95,840,11,-0.7116,-7.3353,-7.6117,-7.0602,0.4672,0.1012,False
geopolitics,spread x strength,5-10.1c x 0.95-1.01,540,11,-0.9028,-7.6198,-6.8799,-8.3018,0.4337,0.0907,False
